file_location,doi,title,authors,year,journal
https___openalex_org_W4281620845.txt,10.3390/recycling7030032,Identifying Future Skill Requirements of the Job Profiles for a Sustainable European Manufacturing Industry 4.0,"[""Tugce Akyazi"", ""Patricia del Val"", ""Aitor Goti"", ""Aitor Oyarbide-Zubillaga""]",2022,Recycling
pmc_PMC3164634.txt,10.1186/1471-2407-11-349,"Rationale and design of decision: a double-blind, randomized, placebo-controlled phase III trial evaluating the efficacy and safety of sorafenib in patients with locally advanced or metastatic radioactive iodine (RAI)-refractory, differentiated thyroid cancer","[""Marcia S Brose"", ""Christopher M Nutting"", ""Steven I Sherman"", ""Young Kee Shong"", ""Johannes WA Smit"", ""Gerhard Reike"", ""John Chung"", ""Joachim Kalmus"", ""Christian Kappeler"", ""Martin Schlumberger""]",2011,BMC Cancer
